Time (s),Voltage (mV)
0.0,4.8218746199097605e-23
0.002000400080016003,3.493729402459166e-22
0.004000800160032006,2.432113766952866e-21
0.006001200240048009,1.6266711985765888e-20
0.008001600320064013,1.0452903434212748e-19
0.010002000400080016,6.453500816612309e-19
0.012002400480096018,3.828027687469803e-18
0.014002800560112022,2.1816046025488405e-17
0.016003200640128026,1.1945333574613804e-16
0.01800360072014403,6.284081265739067e-16
0.020004000800160033,3.1761907261206317e-15
0.022004400880176037,1.542384399661001e-14
0.024004800960192037,7.196145642816829e-14
0.02600520104020804,3.225733874363582e-13
0.028005601120224044,1.3892435696341608e-12
0.030006001200240048,5.7484336839218134e-12
0.03200640128025605,2.2852931915302996e-11
0.03400680136027205,8.728821166867255e-11
0.03600720144028806,3.2032477958241227e-10
0.03800760152030406,1.1293973021409304e-09
0.040008001600320066,3.825817293244648e-09
0.042008401680336066,1.2451537353301046e-08
0.04400880176035207,3.893525250363053e-08
0.04600920184036807,1.1697263824053405e-07
0.048009601920384073,3.3763452160799154e-07
0.05001000200040008,9.363337428766011e-07
0.05201040208041608,2.4948002214331795e-06
0.05401080216043209,6.386488630182275e-06
0.05601120224044809,1.5707598170542213e-05
0.058011602320464095,3.711749784191759e-05
0.060012002400480095,8.426920002565944e-05
0.0620124024804961,0.0001838147340727371
0.0640128025605121,0.000385223736438279
0.06601320264052811,0.0007756521994091217
0.0680136027205441,0.0015005217234479954
0.07001400280056011,0.0027889377195163393
0.07201440288057612,0.004980312734756486
0.07401480296059212,0.00854467764946245
0.07601520304060812,0.014084973106375116
0.07801560312062412,0.02230681834497989
0.08001600320064013,0.03394224071375151
0.08201640328065612,0.04962090233691908
0.08401680336067213,0.06969635660012284
0.08601720344068814,0.09405389036651172
0.08801760352070415,0.12194520334536574
0.09001800360072014,0.15190565802862455
0.09201840368073615,0.18180442453869927
0.09401880376075215,0.20905290953585823
0.09601920384076815,0.2309560026252877
0.09801960392078415,0.24514529478611993
0.10002000400080016,0.2499994998004404
0.10202040408081617,0.24494917856859943
0.10402080416083216,0.23058662086739887
0.10602120424084817,0.20855158387428713
0.10802160432086418,0.1812233481910859
0.11002200440088018,0.15129900687181877
0.11202240448089618,0.12136103584971604
0.11402280456091218,0.0935284510295824
0.11602320464092819,0.06925154692166438
0.11802360472094418,0.04926477300728641
0.12002400480096019,0.03367167826724702
0.1220244048809762,0.022111301680261077
0.1240248049609922,0.013950350742651075
0.1260252050410082,0.00845623831171755
0.1280256051210242,0.004924822364562067
0.1300260052010402,0.0027556572384320513
0.13202640528105622,0.0014814298581147434
0.13402680536107223,0.0007651705739404411
0.1360272054410882,0.0003797140757915467
0.1380276055211042,0.00018104077615448458
0.14002800560112022,8.293109107745406e-05
0.14202840568113623,3.649888740524747e-05
0.14402880576115223,1.543345463437783e-05
0.14602920584116824,6.270006895950051e-06
0.14802960592118425,2.4473438224040248e-06
0.15003000600120023,9.178091312914886e-07
0.15203040608121624,3.3077442048266355e-07
0.15403080616123224,1.1482685886350467e-07
0.15603120624124825,3.937358695832271e-08
0.15803160632126426,1.6751179522234057e-08
0.16003200640128026,1.9260254257274194e-08
0.16203240648129627,5.1605883772618745e-08
0.16403280656131225,1.5815957965334297e-07
0.16603320664132826,4.7406818618791436e-07
0.16803360672134426,1.3673838317092145e-06
0.17003400680136027,3.7889580062899834e-06
0.17203440688137628,1.007869030884674e-05
0.17403480696139229,2.5690128887314578e-05
0.1760352070414083,6.247011866571666e-05
0.17803560712142427,0.00014352259472147043
0.18003600720144028,0.00030580126657169703
0.1820364072814563,0.000584541505926135
0.1840368073614723,0.0009424290133216704
0.1860372074414883,0.0011021875185354031
0.1880376075215043,0.0003327654722567264
0.19003800760152031,-0.0025041459129526798
0.1920384076815363,-0.008091256381989662
0.1940388077615523,-0.014736743756013845
0.1960392078415683,-0.016404578901466394
0.19803960792158432,-0.002902555142520698
0.20004000800160032,0.03642463553977225
0.20204040808161633,0.10733102551816114
0.20404080816163234,0.20771637978702412
0.20604120824164834,0.3292848145188436
0.20804160832166432,0.4617494155009258
0.21004200840168033,0.5957710292364566
0.21204240848169634,0.723110053261181
0.21404280856171234,0.835473308269588
0.21604320864172835,0.9241206894798889
0.21804360872174436,0.9808797466442188
0.22004400880176037,0.9998710644740708
0.22204440888177635,0.9789169049251017
0.22404480896179235,0.9199156633241544
0.22604520904180836,0.8279116885212711
0.22804560912182437,0.7091530951989778
0.23004600920184037,0.5692792928635633
0.23204640928185638,0.4134975423414185
0.2340468093618724,0.24979809750710705
0.23604720944188837,0.09303648250735301
0.23804760952190437,-0.03544137873428809
0.24004800960192038,-0.11594786021010046
0.2420484096819364,-0.14189746435613498
0.2440488097619524,-0.12463571265418874
0.2460492098419684,-0.08663863204095425
0.2480496099219844,-0.04884290775163834
0.2500500100020004,-0.022216752575494082
0.2520504100820164,-0.007814083182349343
0.2540508101620324,-0.001780074544535206
0.2560512102420484,6.809492576339329e-05
0.2580516103220644,0.00036099643198100857
0.2600520104020804,0.0002683762518541989
0.26205241048209643,0.00016122775297070795
0.26405281056211244,0.00010757311669366219
0.26605321064212845,9.919054521416085e-05
0.26805361072214445,0.00012274940046700397
0.27005401080216046,0.00017317611650357148
0.2720544108821764,0.00025293853445728634
0.2740548109621924,0.00037018222275365367
0.2760552110422084,0.0005379969720990198
0.27805561112222443,0.0007746656097905717
0.28005601120224044,0.0011045295194948418
0.28205641128225645,0.0015592373494222693
0.28405681136227245,0.0021792450361535157
0.28605721144228846,0.0030154767651743245
0.28805761152230447,0.004131058860107036
0.2900580116023205,0.005603019428035747
0.2920584116823365,0.007523816542450829
0.2940588117623525,0.010002523605888628
0.2960592118423685,0.013165467650981427
0.2980596119223845,0.017156089892603404
0.30006001200240046,0.02213378328883017
0.30206041208241646,0.028271464836186363
0.30406081216243247,0.03575166617876761
0.3060612122424485,0.04476097926885179
0.3080616123224645,0.055482776939834944
0.3100620124024805,0.06808824141140284
0.3120624124824965,0.08272587368850534
0.3140628125625125,0.09950981646877505
0.3160632126425285,0.11850749153000514
0.3180636127225445,0.13972721505659141
0.3200640128025605,0.16310659376697587
0.32206441288257653,0.18850260264504187
0.32406481296259254,0.2156842839577764
0.32606521304260855,0.24432897247035903
0.3280656131226245,0.27402283403615824
0.3300660132026405,0.3042663020020098
0.3320664132826565,0.3344847147590463
0.3340668133626725,0.36404411410778087
0.33606721344268853,0.39227178234320914
0.33806761352270454,0.41848070746422483
0.34006801360272054,0.44199680616365694
0.34206841368273655,0.4621874392832743
0.34406881376275256,0.47848955675721855
0.34606921384276856,0.49043573382354294
0.34806961392278457,0.4976764217964559
0.3500700140028006,0.4999969362840188
0.3520704140828166,0.49732803090982114
0.3540708141628326,0.4897493298569932
0.35607121424284854,0.4774853818110921
0.35807161432286455,0.4608946081810839
0.36007201440288056,0.44045190459871036
0.36207241448289657,0.41672607402025724
0.3640728145629126,0.3903535868267872
0.3660732146429286,0.36201035349262195
0.3680736147229446,0.3323832471294846
0.3700740148029606,0.30214302879336735
0.3720744148829766,0.2719201230444006
0.3740748149629926,0.24228439062135376
0.3760752150430086,0.21372968214323362
0.3780756151230246,0.18666356759468347
0.38007601520304063,0.16140225630213656
0.38207641528305664,0.13817038212206076
0.3840768153630726,0.11710505252987786
0.3860772154430886,0.09826336340135278
0.3880776155231046,0.08163246951237517
0.3900780156031206,0.0671412715439596
0.3920784156831366,0.05467282391574708
0.3940788157631526,0.04407666920852965
0.39607921584316863,0.0351804465500014
0.39807961592318464,0.027800284772827165
0.40008001600320064,0.02174965933864825
0.40208041608321665,0.01684655060834193
0.40408081616323266,0.012918879289850325
0.40608121624324867,0.00980830601511737
0.4080816163232647,0.007372562985831155
